from,to,type,weight
Afghanistan,Asia,connected,1549749413
Albania,Asia,connected,4064376.7
Algeria,Asia,connected,174948292
Angola,Asia,connected,6446942.206
Antigua and Barbuda,Asia,connected,15.86143516
"Areas, nes",Asia,connected,13348483.53
Argentina,Asia,connected,8025227.597
Armenia,Asia,connected,219968194.6
Aruba,Asia,connected,18434.59
Asia,Asia,connected,6087810935
Asia-Pacific,Asia,connected,914515764.2
Australia,Asia,connected,7192296.812
Austria,Asia,connected,155979942.1
Azerbaijan,Asia,connected,471236335.9
Bahamas,Asia,connected,5511.110269
Bahrain,Asia,connected,556057.625
Bangladesh,Asia,connected,406234882.9
Barbados,Asia,connected,291.8384797
Belarus,Asia,connected,212267475.7
Belgium,Asia,connected,274889039.3
Belize,Asia,connected,1444764
Benin,Asia,connected,3057610.565
Bermuda,Asia,connected,10301.13993
Bhutan,Asia,connected,19805.25
Bolivia,Asia,connected,108293.6133
Bosnia Herzegovina,Asia,connected,851317.3842
Botswana,Asia,connected,2229
Br. Virgin Isds,Asia,connected,220550
Brazil,Asia,connected,28028882.11
Brunei Darussalam,Asia,connected,113820.5676
Bulgaria,Asia,connected,679289417
Burkina Faso,Asia,connected,40500.14569
Burundi,Asia,connected,83411.65135
Côte d'Ivoire,Asia,connected,216849.9195
Cambodia,Asia,connected,402479.29
Cameroon,Asia,connected,665427.3919
Canada,Asia,connected,766543189.3
Chad,Asia,connected,14448.16
Chile,Asia,connected,829934.0083
China,Asia,connected,12352826513
"China, Hong Kong SAR",Asia,connected,26189275.61
"China, Macao SAR",Asia,connected,6864.42885
Colombia,Asia,connected,3281418.204
Commonwealth of Independent States,Asia,connected,16025811402
Congo,Asia,connected,88010.89
Costa Rica,Asia,connected,56959.01967
Croatia,Asia,connected,478489145.7
Cuba,Asia,connected,3840.49
Cyprus,Asia,connected,75728503.45
Czechia,Asia,connected,656253088.2
Denmark,Asia,connected,74145170.98
Developed Economies,Asia,connected,43615000900
Djibouti,Asia,connected,1268343.96
Dominica,Asia,connected,9250
Dominican Rep.,Asia,connected,2595687.683
Eastern Asia,Asia,connected,13933420265
Ecuador,Asia,connected,1244748.708
Egypt,Asia,connected,22061642.98
El Salvador,Asia,connected,15140.22629
Estonia,Asia,connected,22391009.31
Ethiopia,Asia,connected,8935814.903
Europe,Asia,connected,51205928438
Finland,Asia,connected,179521667.1
France,Asia,connected,3352186772
French Polynesia,Asia,connected,3364.642219
Gabon,Asia,connected,239131.74
Gambia,Asia,connected,14401.09
Georgia,Asia,connected,722083838.9
Germany,Asia,connected,1089481164
Ghana,Asia,connected,1641643.192
Gibraltar,Asia,connected,7054043.22
Greece,Asia,connected,1142112113
Greenland,Asia,connected,1323.859257
Guatemala,Asia,connected,92864.27729
Guinea,Asia,connected,1156.813479
Holy See (Vatican City State),Asia,connected,382.63
Honduras,Asia,connected,15009.40432
Hungary,Asia,connected,43950440.37
Iceland,Asia,connected,1628823.398
India,Asia,connected,1321636910
Indonesia,Asia,connected,533618467.4
Iran,Asia,connected,674324432.1
Iraq,Asia,connected,168598720.5
Ireland,Asia,connected,2159056.929
Israel,Asia,connected,785070124.4
Italy,Asia,connected,13318548858
Jamaica,Asia,connected,1302
Japan,Asia,connected,906922099.8
Jordan,Asia,connected,10784560.17
Kazakhstan,Asia,connected,1811801931
Kenya,Asia,connected,1837002.998
Kuwait,Asia,connected,3602941.002
Kyrgyzstan,Asia,connected,765415033.6
Latin America,Asia,connected,73415421.96
Latin America and the Caribbean,Asia,connected,76348083.82
Latvia,Asia,connected,104887997.2
Lebanon,Asia,connected,37181915.54
Liberia,Asia,connected,29373.75
Libya,Asia,connected,1945091.05
Lithuania,Asia,connected,622145942.5
Luxembourg,Asia,connected,19133595.74
Madagascar,Asia,connected,6438.578236
Malawi,Asia,connected,2959560.02
Malaysia,Asia,connected,22375309.11
Maldives,Asia,connected,12601.05229
Malta,Asia,connected,273126997.1
Mauritius,Asia,connected,90.97979394
Mexico,Asia,connected,18228055.14
Mongolia,Asia,connected,76579911.29
Montenegro,Asia,connected,667853.9755
Morocco,Asia,connected,56684144.83
Mozambique,Asia,connected,34704.22146
Myanmar,Asia,connected,2338881.569
Nepal,Asia,connected,130664.9693
Netherlands,Asia,connected,4965869958
New Zealand,Asia,connected,401367.5702
Nicaragua,Asia,connected,5652.095213
Niger,Asia,connected,92500
Nigeria,Asia,connected,595085.5935
North America,Asia,connected,1432557164
Northern Africa,Asia,connected,450404825.7
Norway,Asia,connected,9474966.074
Oceania,Asia,connected,53963.50222
Oman,Asia,connected,1042739.488
OPEC,Asia,connected,1815969827
Other,Asia,connected,13348483.53
"Other Asia, nes",Asia,connected,296623567.2
"Other Europe, nes",Asia,connected,27844
Pakistan,Asia,connected,30034382.79
Panama,Asia,connected,2095976.29
