id,media,media.type,type.label,audience.size
Afghanistan,country,1,lala,1
Albania,country,1,lala,1
Algeria,country,1,lala,1
Angola,country,1,lala,1
Antigua and Barbuda,country,1,lala,1
"Areas, nes",country,1,lala,1
Argentina,country,1,lala,1
Armenia,country,1,lala,1
Aruba,country,1,lala,1
Austria,country,1,lala,1
Azerbaijan,country,1,lala,1
Bahamas,country,1,lala,1
Bahrain,country,1,lala,1
Bangladesh,country,1,lala,1
Barbados,country,1,lala,1
Belarus,country,1,lala,1
Belgium,country,1,lala,1
Belize,country,1,lala,1
Benin,country,1,lala,1
Bermuda,country,1,lala,1
Bhutan,country,1,lala,1
Bolivia,country,1,lala,1
Bosnia Herzegovina,country,1,lala,1
Botswana,country,1,lala,1
Br. Virgin Isds,country,1,lala,1
Brunei Darussalam,country,1,lala,1
Bulgaria,country,1,lala,1
Burkina Faso,country,1,lala,1
Burundi,country,1,lala,1
Côte d'Ivoire,country,1,lala,1
Cambodia,country,1,lala,1
Cameroon,country,1,lala,1
Chad,country,1,lala,1
Chile,country,1,lala,1
"China, Hong Kong SAR",country,1,lala,1
"China, Macao SAR",country,1,lala,1
Colombia,country,1,lala,1
Congo,country,1,lala,1
Costa Rica,country,1,lala,1
Croatia,country,1,lala,1
Cuba,country,1,lala,1
Cyprus,country,1,lala,1
Czechia,country,1,lala,1
Denmark,country,1,lala,1
Djibouti,country,1,lala,1
Dominica,country,1,lala,1
Dominican Rep.,country,1,lala,1
Ecuador,country,1,lala,1
Egypt,country,1,lala,1
El Salvador,country,1,lala,1
Estonia,country,1,lala,1
Ethiopia,country,1,lala,1
Finland,country,1,lala,1
French Polynesia,country,1,lala,1
Gabon,country,1,lala,1
Gambia,country,1,lala,1
Georgia,country,1,lala,1
Ghana,country,1,lala,1
Gibraltar,country,1,lala,1
Greece,country,1,lala,1
Greenland,country,1,lala,1
Guatemala,country,1,lala,1
Guinea,country,1,lala,1
Holy See (Vatican City State),country,1,lala,1
Honduras,country,1,lala,1
Hungary,country,1,lala,1
Iceland,country,1,lala,1
Indonesia,country,1,lala,1
Iran,country,1,lala,1
Iraq,country,1,lala,1
Ireland,country,1,lala,1
Israel,country,1,lala,1
Italy,country,1,lala,1
Jamaica,country,1,lala,1
Jordan,country,1,lala,1
Kazakhstan,country,1,lala,1
Kenya,country,1,lala,1
Kuwait,country,1,lala,1
Kyrgyzstan,country,1,lala,1
Latin America,country,1,lala,1
Latvia,country,1,lala,1
Lebanon,country,1,lala,1
Liberia,country,1,lala,1
Libya,country,1,lala,1
Lithuania,country,1,lala,1
Luxembourg,country,1,lala,1
Madagascar,country,1,lala,1
Malawi,country,1,lala,1
Maldives,country,1,lala,1
Malta,country,1,lala,1
Mauritius,country,1,lala,1
Mongolia,country,1,lala,1
Montenegro,country,1,lala,1
Morocco,country,1,lala,1
